date,flight_id,fuel_liters,engine_time_min,departure,arrival,is_mine,notes


2026-02-07,2026-02-07_1118_FGTPK,,1.3,LFCL,LFCL,1,Entrainement Nav de pré-selection TAJP 1
2026-02-21,2026-02-21_0904_FGTPK,,1.3,LFCL,LFCL,1,Entrainement Nav de pré-selection TAJP 2
2026-03-10,2026-03-10_1455_FGSBJ,54.0,1.9,LFCL,LFCL,1,Nav de pré-selection TAJP
2026-03-21,2026-03-21_1514_FGSBJ,39.6,1.6,LFCL,LFCL,1,Entrainement au trajet Nav avec Flo
2026-04-03,2026-04-03_1616_FGSBJ,19.1,1.0,LFCL,LFCL,1,Tour de Piste par vent de travers
2026-04-05,2026-04-05_0834_FGTPK,41.9,1.5,LFCL,LFCL,1,Vol avec Flo
2026-04-10,2026-04-10_1602_FGSBJ,21.0,1.1,LFCL,LFCL,1,"Tour de Piste, conditions parfaites"
2026-04-26,2026-04-26_1224_FGSBJ,53.9,1.8,LFCL,LFCL,1,Vol Viaduc de Millau
2026-05-07,2026-05-07_1231_FGSRR,46.9,1.7,LFCL,LFCL,1,Nav Pamier
2026-05-03,2026-05-03_0706_FGSRR,29.8,,LFCL,LFCL,0,model
2026-04-30,2026-04-30_1024_FGSRR,28.9,,LFCL,LFCL,0,model
2026-04-29,2026-04-29_1648_FGSRR,26.5,,LFCL,LFCL,0,model
2026-04-25,2026-04-25_1517_FGSRR,12.0,,LFCL,LFCL,0,model
2026-04-20,2026-04-20_1331_FGSRR,26.7,,LFCL,LFCL,0,model
2026-04-20,2026-04-20_0846_FGSRR,14.3,,LFCL,LFCL,0,model
2026-04-19,2026-04-19_1614_FGSRR,35.0,,LFCL,LFCL,0,model
2026-04-17,2026-04-17_1622_FGSRR,65.0,,LFCL,LFCL,0,model
2026-04-01,2026-04-01_1056_FGSRR,19.6,,LFCL,LFCL,0,model
2026-03-29,2026-03-29_1643_FGSRR,32.0,,LFCL,LFCL,0,model
2026-03-29,2026-03-29_1234_FGSRR,29.1,,LFCL,LFCL,0,model
2026-03-27,2026-03-27_0933_FGSRR,20.9,,LFCL,LFCL,0,model
2026-03-24,2026-03-24_1649_FGSRR,16.0,,LFCL,LFCL,0,model
2026-03-24,2026-03-24_1012_FGSRR,56.8,,LFCL,LFCL,0,model
2026-03-23,2026-03-23_1457_FGSRR,18.6,,LFCL,LFCL,0,model
2026-06-03,2026-06-03_1532_FGSBJ,34.6,1.1,LFCL,LFCL,1,Entrainement 45°
2026-06-26,2026-06-26_0659_FGTPK,28.9,1.1,LFCL,LFMU,1,Vol Lasbordes --Béziers
2026-06-26,2026-06-26_0828_FGTPK,47.43,1.9,LFMU,LFBU,1,Vol Béziers -- Angoulême 
2026-06-26,2026-06-26_1040_FGTPK,44.0,1.9,LFBU,LFCL,1,Vol Angoulême -- Lasbordes
